question,api_route
Find my latest transaction for fuel.,/api/agent/transactions/search
What did I spend on food in SCB during November?,/api/agent/summary/expense-income
What is my cashflow for UBL in June?,/api/agent/trends/cashflow
What did I spend on entertainment in JazzCash during March?,/api/agent/summary/expense-income
Show my balance trend for HBL since May.,/api/agent/trends/monthly-balance
Show my budget utilization for fuel in July.,/api/agent/analytics/budget
What did I spend on dining out in Alfalah during February?,/api/agent/summary/expense-income
What is my current balance in JazzCash?,/api/agent/overview
Find transactions matching Speedy from two days ago.,/api/agent/transactions/search
Show my balance trend for JazzCash since April.,/api/agent/trends/monthly-balance
How close am I to my saving goal of 25000 PKR in UBL?,/api/agent/analytics/savings
Search my payment logs for KFC.,/api/agent/transactions/search
How much budget do I have left for utilities in my Alfalah account for August?,/api/agent/analytics/budget
What did I spend the most money on in Alfalah during August?,/api/agent/analytics/top-categories
Show my balance trend for NBP since July.,/api/agent/trends/monthly-balance
How much budget do I have left for groceries in my Easypaisa account for February?,/api/agent/analytics/budget
Get statement report for June for Easypaisa.,/api/agent/analytics/statements
Are there any unusual transaction spikes on my HBL account in January?,/api/agent/analytics/anomalies
Compare my spending in September vs July by category in JazzCash.,/api/agent/trends/mom
How much budget do I have left for rent in my UBL account for July?,/api/agent/analytics/budget
Compare my spending in August vs September by category in JazzCash.,/api/agent/trends/mom
Show my projected ending balance for January.,/api/agent/analytics/projections
What are my balances in Alfalah and HBL for March?,/api/agent/overview
Retrieve transactions matching dining out.,/api/agent/transactions/search
Get statement report for April for Alfalah.,/api/agent/analytics/statements
Calculate my current net worth in UBL as of October.,/api/agent/analytics/net-worth
How much budget do I have left for food in my Easypaisa account for September?,/api/agent/analytics/budget
What is my cashflow for HBL in October?,/api/agent/trends/cashflow
Get statement report for March for SCB.,/api/agent/analytics/statements
What is my cashflow for UBL in April?,/api/agent/trends/cashflow
Track my progress for the fuel savings goal.,/api/agent/analytics/savings
Retrieve transactions matching rent.,/api/agent/transactions/search
Show my balance trend for UBL since September.,/api/agent/trends/monthly-balance
Show my budget utilization for shopping in August.,/api/agent/analytics/budget
What did I spend the most money on in SCB during November?,/api/agent/analytics/top-categories
What is my cashflow for Alfalah in August?,/api/agent/trends/cashflow
Detect any spending anomaly in October.,/api/agent/analytics/anomalies
Are there any unusual transaction spikes on my Meezan account in May?,/api/agent/analytics/anomalies
Find transactions matching KFC from this morning.,/api/agent/transactions/search
Show investment profit for July in my Alfalah portfolio.,/api/agent/analytics/investments
What did I spend on travel in Easypaisa during September?,/api/agent/summary/expense-income
Compare my spending in September vs July by category in Easypaisa.,/api/agent/trends/mom
What did I spend on utilities in Alfalah during April?,/api/agent/summary/expense-income
Show my budget utilization for food in April.,/api/agent/analytics/budget
What did I spend the most money on in Easypaisa during November?,/api/agent/analytics/top-categories
Find transactions matching Netflix from today.,/api/agent/transactions/search
How much budget do I have left for shopping in my Meezan account for July?,/api/agent/analytics/budget
What is my cashflow for UBL in December?,/api/agent/trends/cashflow
Find transactions matching Uber from today.,/api/agent/transactions/search
What did I spend on food in NBP during September?,/api/agent/summary/expense-income
Provide a summary of inflow and outflow for August.,/api/agent/summary/expense-income
How much budget do I have left for shopping in my HBL account for October?,/api/agent/analytics/budget
Show investment profit for February in my UBL portfolio.,/api/agent/analytics/investments
Compare my spending in January vs May by category in Meezan.,/api/agent/trends/mom
Get statement report for January for Meezan.,/api/agent/analytics/statements
Compare my spending in January vs August by category in HBL.,/api/agent/trends/mom
Calculate my current net worth in JazzCash as of March.,/api/agent/analytics/net-worth
Compare my spending in January vs April by category in NBP.,/api/agent/trends/mom
Get statement report for April for SCB.,/api/agent/analytics/statements
Are there any unusual transaction spikes on my SCB account in May?,/api/agent/analytics/anomalies
What are my balances in NBP and Alfalah for May?,/api/agent/overview
What did I spend the most money on in Alfalah during March?,/api/agent/analytics/top-categories
Track my progress for the utilities savings goal.,/api/agent/analytics/savings
Are there any unusual transaction spikes on my NBP account in June?,/api/agent/analytics/anomalies
Compare my spending in December vs February by category in SCB.,/api/agent/trends/mom
Calculate my current net worth in JazzCash as of August.,/api/agent/analytics/net-worth
What is my cashflow for Meezan in August?,/api/agent/trends/cashflow
Find transactions matching Netflix from last week.,/api/agent/transactions/search
Show my budget utilization for shopping in April.,/api/agent/analytics/budget
Show my budget utilization for travel in September.,/api/agent/analytics/budget
What did I spend the most money on in HBL during April?,/api/agent/analytics/top-categories
List recurring items under utilities for my Meezan card.,/api/agent/analytics/recurring
Show my balance trend for NBP since June.,/api/agent/trends/monthly-balance
Show my balance trend for UBL since May.,/api/agent/trends/monthly-balance
Show my budget utilization for groceries in June.,/api/agent/analytics/budget
Show my balance trend for Meezan since January.,/api/agent/trends/monthly-balance
How close am I to my saving goal of 5000 PKR in NBP?,/api/agent/analytics/savings
What did I spend the most money on in NBP during May?,/api/agent/analytics/top-categories
Find my latest transaction for travel.,/api/agent/transactions/search
Compare my spending in December vs September by category in JazzCash.,/api/agent/trends/mom
Calculate my current net worth in Easypaisa as of May.,/api/agent/analytics/net-worth
What is my cashflow for SCB in January?,/api/agent/trends/cashflow
Compare my spending in April vs July by category in UBL.,/api/agent/trends/mom
Get statement report for December for UBL.,/api/agent/analytics/statements
Compare my spending in June vs January by category in Alfalah.,/api/agent/trends/mom
Are there any unusual transaction spikes on my Meezan account in June?,/api/agent/analytics/anomalies
What are my balances in Alfalah and HBL for August?,/api/agent/overview
Show my balance trend for HBL since November.,/api/agent/trends/monthly-balance
Show investment profit for September in my NBP portfolio.,/api/agent/analytics/investments
Are there any unusual transaction spikes on my Alfalah account in December?,/api/agent/analytics/anomalies
List recurring items under dining out for my Easypaisa card.,/api/agent/analytics/recurring
What did I spend on groceries in HBL during August?,/api/agent/summary/expense-income
What did I spend the most money on in UBL during October?,/api/agent/analytics/top-categories
What is my cashflow for Alfalah in October?,/api/agent/trends/cashflow
What did I spend on entertainment in UBL during November?,/api/agent/summary/expense-income
What did I spend on food in NBP during October?,/api/agent/summary/expense-income
Show investment profit for May in my Easypaisa portfolio.,/api/agent/analytics/investments
Find transactions over 5000 PKR.,/api/agent/transactions/search
Show my balance trend for Meezan since May.,/api/agent/trends/monthly-balance
What did I spend on dining out in JazzCash during August?,/api/agent/summary/expense-income
Compare my spending in February vs December by category in SCB.,/api/agent/trends/mom
How much budget do I have left for groceries in my NBP account for May?,/api/agent/analytics/budget
Get statement report for September for NBP.,/api/agent/analytics/statements
Show my balance trend for Meezan since September.,/api/agent/trends/monthly-balance
Show my budget utilization for fuel in March.,/api/agent/analytics/budget
Provide a summary of inflow and outflow for November.,/api/agent/summary/expense-income
Are there any unusual transaction spikes on my Meezan account in September?,/api/agent/analytics/anomalies
How much budget do I have left for travel in my Easypaisa account for March?,/api/agent/analytics/budget
Compare my spending in October vs November by category in UBL.,/api/agent/trends/mom
Compare my spending in August vs October by category in JazzCash.,/api/agent/trends/mom
Get statement report for March for UBL.,/api/agent/analytics/statements
Are there any unusual transaction spikes on my Alfalah account in August?,/api/agent/analytics/anomalies
List recurring items under rent for my Alfalah card.,/api/agent/analytics/recurring
Compare my spending in June vs May by category in Meezan.,/api/agent/trends/mom
Show my projected ending balance for August.,/api/agent/analytics/projections
What did I spend on shopping in HBL during February?,/api/agent/summary/expense-income
Show my balance trend for Meezan since June.,/api/agent/trends/monthly-balance
Compare my spending in May vs October by category in Alfalah.,/api/agent/trends/mom
How close am I to my saving goal of 100000 PKR in Meezan?,/api/agent/analytics/savings
Show investment profit for August in my JazzCash portfolio.,/api/agent/analytics/investments
What is my cashflow for NBP in July?,/api/agent/trends/cashflow
List recurring items under travel for my JazzCash card.,/api/agent/analytics/recurring
What did I spend the most money on in Meezan during March?,/api/agent/analytics/top-categories
Compare my spending in September vs October by category in HBL.,/api/agent/trends/mom
What is my cashflow for Easypaisa in July?,/api/agent/trends/cashflow
Show my budget utilization for dining out in April.,/api/agent/analytics/budget
Provide a summary of inflow and outflow for June.,/api/agent/summary/expense-income
Find transactions matching Spotify from last week.,/api/agent/transactions/search
Show my balance trend for UBL since March.,/api/agent/trends/monthly-balance
Are there any unusual transaction spikes on my NBP account in December?,/api/agent/analytics/anomalies
What is my cashflow for Easypaisa in May?,/api/agent/trends/cashflow
Show investment profit for January in my Alfalah portfolio.,/api/agent/analytics/investments
What did I spend on fuel in Easypaisa during February?,/api/agent/summary/expense-income
Get statement report for August for NBP.,/api/agent/analytics/statements
Show my balance trend for HBL since October.,/api/agent/trends/monthly-balance
List recurring items under utilities for my Alfalah card.,/api/agent/analytics/recurring
What did I spend on shopping in UBL during February?,/api/agent/summary/expense-income
Calculate my current net worth in Meezan as of March.,/api/agent/analytics/net-worth
What is my cashflow for Alfalah in April?,/api/agent/trends/cashflow
Show my budget utilization for shopping in October.,/api/agent/analytics/budget
Find transactions matching KFC from last week.,/api/agent/transactions/search
What is my top category in September?,/api/agent/analytics/top-categories
Analyze my cashflow trend since October.,/api/agent/trends/cashflow
Get statement report for May for SCB.,/api/agent/analytics/statements
Get statement report for August for Easypaisa.,/api/agent/analytics/statements
Provide a summary of inflow and outflow for September.,/api/agent/summary/expense-income
Compare my spending in January vs June by category in JazzCash.,/api/agent/trends/mom
Search for transactions from last week.,/api/agent/transactions/search
How close am I to my saving goal of 50000 PKR in Meezan?,/api/agent/analytics/savings
Show investment profit for January in my HBL portfolio.,/api/agent/analytics/investments
List all debit transactions matching Speedy.,/api/agent/transactions/search
Are there any unusual transaction spikes on my UBL account in October?,/api/agent/analytics/anomalies
Calculate my current net worth in Alfalah as of March.,/api/agent/analytics/net-worth
How close am I to my saving goal of 25000 PKR in Easypaisa?,/api/agent/analytics/savings
What did I spend on fuel in UBL during March?,/api/agent/summary/expense-income
How close am I to my saving goal of 10000 PKR in Easypaisa?,/api/agent/analytics/savings
Are there any unusual transaction spikes on my SCB account in February?,/api/agent/analytics/anomalies
What is my cashflow for Easypaisa in January?,/api/agent/trends/cashflow
Compare my spending in June vs March by category in Meezan.,/api/agent/trends/mom
How close am I to my saving goal of 50000 PKR in UBL?,/api/agent/analytics/savings
Are there any unusual transaction spikes on my JazzCash account in November?,/api/agent/analytics/anomalies
Are there any unusual transaction spikes on my Easypaisa account in May?,/api/agent/analytics/anomalies
Calculate my current net worth in NBP as of December.,/api/agent/analytics/net-worth
Find transactions matching McDonalds from two days ago.,/api/agent/transactions/search
What is my cashflow for Meezan in September?,/api/agent/trends/cashflow
List recurring items under rent for my UBL card.,/api/agent/analytics/recurring
List recurring items under travel for my Easypaisa card.,/api/agent/analytics/recurring
Retrieve transactions matching entertainment.,/api/agent/transactions/search
Show investment profit for April in my Meezan portfolio.,/api/agent/analytics/investments
How close am I to my saving goal of 1500 PKR in Easypaisa?,/api/agent/analytics/savings
What did I spend on rent in Alfalah during June?,/api/agent/summary/expense-income
List recurring items under entertainment for my HBL card.,/api/agent/analytics/recurring
Show my balance trend for Alfalah since November.,/api/agent/trends/monthly-balance
What did I spend on rent in Meezan during December?,/api/agent/summary/expense-income
How close am I to my saving goal of 100000 PKR in HBL?,/api/agent/analytics/savings
What did I spend on fuel in Easypaisa during March?,/api/agent/summary/expense-income
What is my cashflow for SCB in April?,/api/agent/trends/cashflow
How close am I to my saving goal of 50000 PKR in NBP?,/api/agent/analytics/savings
Show my budget utilization for shopping in June.,/api/agent/analytics/budget
What did I spend on entertainment in JazzCash during November?,/api/agent/summary/expense-income
Compare my spending in March vs September by category in SCB.,/api/agent/trends/mom
Compare my spending in November vs December by category in Meezan.,/api/agent/trends/mom
What did I spend on fuel in Alfalah during February?,/api/agent/summary/expense-income
What did I spend on groceries in Alfalah during November?,/api/agent/summary/expense-income
List recurring items under dining out for my UBL card.,/api/agent/analytics/recurring
List recurring items under rent for my JazzCash card.,/api/agent/analytics/recurring
How close am I to my saving goal of 5000 PKR in Easypaisa?,/api/agent/analytics/savings
Are there any unusual transaction spikes on my HBL account in September?,/api/agent/analytics/anomalies
Calculate my current net worth in Alfalah as of August.,/api/agent/analytics/net-worth
Analyze my cashflow trend since April.,/api/agent/trends/cashflow
What are my balances in Easypaisa and NBP for March?,/api/agent/overview
What is my cashflow for JazzCash in July?,/api/agent/trends/cashflow
Show investment profit for August in my SCB portfolio.,/api/agent/analytics/investments
Detect any spending anomaly in July.,/api/agent/analytics/anomalies
How close am I to my saving goal of 500 PKR in SCB?,/api/agent/analytics/savings
Show my budget utilization for travel in June.,/api/agent/analytics/budget
How much budget do I have left for entertainment in my HBL account for January?,/api/agent/analytics/budget
Detect any spending anomaly in December.,/api/agent/analytics/anomalies
How much budget do I have left for travel in my SCB account for December?,/api/agent/analytics/budget
How much budget do I have left for travel in my JazzCash account for January?,/api/agent/analytics/budget
What is my current balance in NBP?,/api/agent/overview
List recurring items under travel for my HBL card.,/api/agent/analytics/recurring
Compare my spending in September vs January by category in UBL.,/api/agent/trends/mom
Compare my spending in February vs September by category in Alfalah.,/api/agent/trends/mom
Compare my spending in September vs April by category in HBL.,/api/agent/trends/mom
Are there any unusual transaction spikes on my HBL account in October?,/api/agent/analytics/anomalies
What is my cashflow for JazzCash in August?,/api/agent/trends/cashflow
Get statement report for August for UBL.,/api/agent/analytics/statements
Calculate my current net worth in Alfalah as of May.,/api/agent/analytics/net-worth
What are my balances in SCB and UBL for February?,/api/agent/overview
Calculate my current net worth in UBL as of July.,/api/agent/analytics/net-worth
Show my balance trend for HBL since June.,/api/agent/trends/monthly-balance
Show my budget utilization for dining out in March.,/api/agent/analytics/budget
Show investment profit for June in my Meezan portfolio.,/api/agent/analytics/investments
Show investment profit for February in my JazzCash portfolio.,/api/agent/analytics/investments
Show my balance trend for SCB since June.,/api/agent/trends/monthly-balance
What did I spend the most money on in HBL during October?,/api/agent/analytics/top-categories
Show my balance trend for Meezan since October.,/api/agent/trends/monthly-balance
Show investment profit for November in my Alfalah portfolio.,/api/agent/analytics/investments
What did I spend the most money on in NBP during January?,/api/agent/analytics/top-categories
What did I spend on food in NBP during June?,/api/agent/summary/expense-income
Get statement report for January for HBL.,/api/agent/analytics/statements
Calculate my current net worth in SCB as of August.,/api/agent/analytics/net-worth
What did I spend the most money on in Alfalah during February?,/api/agent/analytics/top-categories
Show my projected ending balance for June.,/api/agent/analytics/projections
What are my balances in Meezan and JazzCash for May?,/api/agent/overview
Detect any spending anomaly in September.,/api/agent/analytics/anomalies
Show my budget utilization for entertainment in September.,/api/agent/analytics/budget
Show my balance trend for JazzCash since November.,/api/agent/trends/monthly-balance
What is my cashflow for NBP in June?,/api/agent/trends/cashflow
What are my balances in Meezan and NBP for September?,/api/agent/overview
What are my balances in JazzCash and NBP for December?,/api/agent/overview
Search for transactions from this morning.,/api/agent/transactions/search
What is my cashflow for HBL in February?,/api/agent/trends/cashflow
Compare my spending in May vs July by category in NBP.,/api/agent/trends/mom
How much budget do I have left for groceries in my HBL account for September?,/api/agent/analytics/budget
List recurring items under fuel for my Meezan card.,/api/agent/analytics/recurring
What are my balances in Meezan and Alfalah for July?,/api/agent/overview
What is my cashflow for Easypaisa in October?,/api/agent/trends/cashflow
What did I spend on entertainment in JazzCash during December?,/api/agent/summary/expense-income
Compare my spending in September vs January by category in HBL.,/api/agent/trends/mom
List recurring items under travel for my NBP card.,/api/agent/analytics/recurring
Get statement report for May for Meezan.,/api/agent/analytics/statements
What did I spend on shopping in SCB during May?,/api/agent/summary/expense-income
How close am I to my saving goal of 100000 PKR in UBL?,/api/agent/analytics/savings
What did I spend the most money on in HBL during July?,/api/agent/analytics/top-categories
What are my balances in SCB and NBP for June?,/api/agent/overview
Did I make any purchases at Spotify recently?,/api/agent/transactions/search
What is my cashflow for HBL in January?,/api/agent/trends/cashflow
Show my balance trend for HBL since July.,/api/agent/trends/monthly-balance
Compare my spending in April vs November by category in HBL.,/api/agent/trends/mom
What did I spend on dining out in NBP during January?,/api/agent/summary/expense-income
List recurring items under shopping for my Alfalah card.,/api/agent/analytics/recurring
What did I spend the most money on in Easypaisa during June?,/api/agent/analytics/top-categories
What is my cashflow for Alfalah in February?,/api/agent/trends/cashflow
How much budget do I have left for utilities in my NBP account for November?,/api/agent/analytics/budget
What did I spend the most money on in SCB during January?,/api/agent/analytics/top-categories
How close am I to my saving goal of 100000 PKR in Alfalah?,/api/agent/analytics/savings
How much budget do I have left for utilities in my Alfalah account for January?,/api/agent/analytics/budget
What are my balances in HBL and SCB for August?,/api/agent/overview
Find transactions matching Daraz from last night.,/api/agent/transactions/search
What did I spend on travel in SCB during November?,/api/agent/summary/expense-income
Get statement report for May for Alfalah.,/api/agent/analytics/statements
How much budget do I have left for rent in my Alfalah account for March?,/api/agent/analytics/budget
Show my balance trend for HBL since December.,/api/agent/trends/monthly-balance
What is the remaining balance on my shopping budget?,/api/agent/analytics/budget
What is my cashflow for HBL in November?,/api/agent/trends/cashflow
What did I spend on entertainment in Meezan during May?,/api/agent/summary/expense-income
Show investment profit for August in my UBL portfolio.,/api/agent/analytics/investments
What are my balances in UBL and NBP for February?,/api/agent/overview
Get statement report for April for NBP.,/api/agent/analytics/statements
Compare my spending in August vs April by category in NBP.,/api/agent/trends/mom
Are there any unusual transaction spikes on my JazzCash account in July?,/api/agent/analytics/anomalies
Get statement report for May for NBP.,/api/agent/analytics/statements
Show my balance trend for Easypaisa since March.,/api/agent/trends/monthly-balance
Compare my spending in November vs May by category in Easypaisa.,/api/agent/trends/mom
Calculate my current net worth in SCB as of October.,/api/agent/analytics/net-worth
Find transactions matching Careem from two days ago.,/api/agent/transactions/search
Show my budget utilization for fuel in June.,/api/agent/analytics/budget
Show investment profit for September in my Meezan portfolio.,/api/agent/analytics/investments
What is my current balance in Easypaisa?,/api/agent/overview
What are my balances in HBL and SCB for September?,/api/agent/overview
What is my cashflow for SCB in September?,/api/agent/trends/cashflow
Compare my spending in July vs June by category in Alfalah.,/api/agent/trends/mom
What is my top category in April?,/api/agent/analytics/top-categories
What did I spend on food in NBP during August?,/api/agent/summary/expense-income
What did I spend the most money on in Alfalah during November?,/api/agent/analytics/top-categories
Show my budget utilization for entertainment in May.,/api/agent/analytics/budget
What are my balances in SCB and Alfalah for October?,/api/agent/overview
List recurring items under shopping for my JazzCash card.,/api/agent/analytics/recurring
How close am I to my saving goal of 10000 PKR in SCB?,/api/agent/analytics/savings
Compare my spending in June vs July by category in Easypaisa.,/api/agent/trends/mom
Show my balance trend for SCB since August.,/api/agent/trends/monthly-balance
What is my cashflow for NBP in April?,/api/agent/trends/cashflow
How much budget do I have left for fuel in my UBL account for April?,/api/agent/analytics/budget
Show my balance trend for HBL since September.,/api/agent/trends/monthly-balance
Show my budget utilization for travel in March.,/api/agent/analytics/budget
How close am I to my saving goal of 50000 PKR in HBL?,/api/agent/analytics/savings
Get statement report for June for SCB.,/api/agent/analytics/statements
Are there any unusual transaction spikes on my Easypaisa account in August?,/api/agent/analytics/anomalies
Calculate my current net worth in SCB as of June.,/api/agent/analytics/net-worth
Compare my spending in May vs April by category in Easypaisa.,/api/agent/trends/mom
What is my cashflow for Easypaisa in April?,/api/agent/trends/cashflow
Compare my spending in November vs February by category in Easypaisa.,/api/agent/trends/mom
Show my balance trend for Alfalah since December.,/api/agent/trends/monthly-balance
Get statement report for October for Alfalah.,/api/agent/analytics/statements
Show my budget utilization for dining out in December.,/api/agent/analytics/budget
What did I spend the most money on in Meezan during December?,/api/agent/analytics/top-categories
Show my balance trend for SCB since February.,/api/agent/trends/monthly-balance
How close am I to my saving goal of 5000 PKR in Meezan?,/api/agent/analytics/savings
Get statement report for October for UBL.,/api/agent/analytics/statements
Are there any unusual transaction spikes on my SCB account in April?,/api/agent/analytics/anomalies
List recurring items under dining out for my Meezan card.,/api/agent/analytics/recurring
What is my cashflow for SCB in June?,/api/agent/trends/cashflow
What is my cashflow for NBP in December?,/api/agent/trends/cashflow
Compare my spending in August vs May by category in HBL.,/api/agent/trends/mom
Get statement report for November for Meezan.,/api/agent/analytics/statements
What did I spend on food in UBL during April?,/api/agent/summary/expense-income
Find transactions matching McDonalds from last night.,/api/agent/transactions/search
Find transactions matching Uber from last week.,/api/agent/transactions/search
How much budget do I have left for fuel in my HBL account for July?,/api/agent/analytics/budget
Show investment profit for March in my NBP portfolio.,/api/agent/analytics/investments
How close am I to my saving goal of 50000 PKR in Alfalah?,/api/agent/analytics/savings
Show my balance trend for Easypaisa since June.,/api/agent/trends/monthly-balance
How close am I to my saving goal of 100000 PKR in JazzCash?,/api/agent/analytics/savings
Compare my spending in January vs June by category in Meezan.,/api/agent/trends/mom
What did I spend on groceries in Easypaisa during August?,/api/agent/summary/expense-income
Find transactions matching KFC from two days ago.,/api/agent/transactions/search
How close am I to my saving goal of 10000 PKR in HBL?,/api/agent/analytics/savings
Compare my spending in January vs August by category in Alfalah.,/api/agent/trends/mom
Find transactions matching Spotify from today.,/api/agent/transactions/search
How much budget do I have left for shopping in my SCB account for December?,/api/agent/analytics/budget
Show my budget utilization for travel in February.,/api/agent/analytics/budget
What are my balances in Alfalah and NBP for February?,/api/agent/overview
Calculate my current net worth in HBL as of October.,/api/agent/analytics/net-worth
How much budget do I have left for utilities in my NBP account for May?,/api/agent/analytics/budget
What are my balances in HBL and Meezan for December?,/api/agent/overview
What is my cashflow for Easypaisa in December?,/api/agent/trends/cashflow
List all debit transactions matching Uber.,/api/agent/transactions/search
Get statement report for December for HBL.,/api/agent/analytics/statements
Show my budget utilization for rent in September.,/api/agent/analytics/budget
Show my balance trend for UBL since June.,/api/agent/trends/monthly-balance
What did I spend on fuel in Alfalah during July?,/api/agent/summary/expense-income
List recurring items under food for my Alfalah card.,/api/agent/analytics/recurring
What did I spend on utilities in NBP during June?,/api/agent/summary/expense-income
Compare my spending in December vs August by category in HBL.,/api/agent/trends/mom
How much budget do I have left for entertainment in my Meezan account for October?,/api/agent/analytics/budget
What is my cashflow for NBP in January?,/api/agent/trends/cashflow
What did I spend on dining out in HBL during June?,/api/agent/summary/expense-income
Compare my spending in January vs June by category in Easypaisa.,/api/agent/trends/mom
Calculate my current net worth in UBL as of May.,/api/agent/analytics/net-worth
What did I spend the most money on in Easypaisa during February?,/api/agent/analytics/top-categories
Get statement report for February for SCB.,/api/agent/analytics/statements
How close am I to my saving goal of 500 PKR in HBL?,/api/agent/analytics/savings
List recurring items under utilities for my UBL card.,/api/agent/analytics/recurring
What did I spend on utilities in NBP during October?,/api/agent/summary/expense-income
Compare my spending in March vs December by category in NBP.,/api/agent/trends/mom
Are there any unusual transaction spikes on my UBL account in May?,/api/agent/analytics/anomalies
Are there any unusual transaction spikes on my SCB account in August?,/api/agent/analytics/anomalies
What is my cashflow for Easypaisa in August?,/api/agent/trends/cashflow
Show investment profit for December in my HBL portfolio.,/api/agent/analytics/investments
What are my balances in Alfalah and NBP for August?,/api/agent/overview
Get statement report for May for JazzCash.,/api/agent/analytics/statements
Show my budget utilization for rent in November.,/api/agent/analytics/budget
How close am I to my saving goal of 50000 PKR in Easypaisa?,/api/agent/analytics/savings
What did I spend on utilities in Alfalah during September?,/api/agent/summary/expense-income
How close am I to my saving goal of 25000 PKR in HBL?,/api/agent/analytics/savings
List recurring items under utilities for my JazzCash card.,/api/agent/analytics/recurring
Compare my spending in September vs March by category in UBL.,/api/agent/trends/mom
How much budget do I have left for dining out in my SCB account for February?,/api/agent/analytics/budget
What is my cashflow for JazzCash in September?,/api/agent/trends/cashflow
What is my cashflow for UBL in February?,/api/agent/trends/cashflow
How much budget do I have left for shopping in my Alfalah account for August?,/api/agent/analytics/budget
What did I spend on travel in UBL during March?,/api/agent/summary/expense-income
Show investment profit for February in my Easypaisa portfolio.,/api/agent/analytics/investments
Show my balance trend for NBP since February.,/api/agent/trends/monthly-balance
Get statement report for March for NBP.,/api/agent/analytics/statements
What is my cashflow for Meezan in March?,/api/agent/trends/cashflow
Compare my spending in June vs March by category in JazzCash.,/api/agent/trends/mom
How close am I to my saving goal of 500 PKR in JazzCash?,/api/agent/analytics/savings
How close am I to my saving goal of 1500 PKR in Meezan?,/api/agent/analytics/savings
Get statement report for April for JazzCash.,/api/agent/analytics/statements
What are my balances in Alfalah and Meezan for January?,/api/agent/overview
Are there any unusual transaction spikes on my JazzCash account in December?,/api/agent/analytics/anomalies
What is my cashflow for Meezan in November?,/api/agent/trends/cashflow
Are there any unusual transaction spikes on my Alfalah account in July?,/api/agent/analytics/anomalies
What did I spend on travel in JazzCash during November?,/api/agent/summary/expense-income
How close am I to my saving goal of 500 PKR in NBP?,/api/agent/analytics/savings
Are there any unusual transaction spikes on my UBL account in November?,/api/agent/analytics/anomalies
Compare my spending in December vs July by category in UBL.,/api/agent/trends/mom
Show my budget utilization for shopping in December.,/api/agent/analytics/budget
Show my projected ending balance for December.,/api/agent/analytics/projections
Calculate my current net worth in JazzCash as of December.,/api/agent/analytics/net-worth
Compare my spending in December vs February by category in UBL.,/api/agent/trends/mom
How much budget do I have left for utilities in my JazzCash account for August?,/api/agent/analytics/budget
What did I spend the most money on in Alfalah during April?,/api/agent/analytics/top-categories
What did I spend the most money on in JazzCash during September?,/api/agent/analytics/top-categories
How much budget do I have left for travel in my UBL account for July?,/api/agent/analytics/budget
Show my budget utilization for travel in January.,/api/agent/analytics/budget
Are there any unusual transaction spikes on my Easypaisa account in September?,/api/agent/analytics/anomalies
What did I spend on dining out in Alfalah during March?,/api/agent/summary/expense-income
Show my balance trend for SCB since April.,/api/agent/trends/monthly-balance
What did I spend on rent in SCB during May?,/api/agent/summary/expense-income
Are there any unusual transaction spikes on my SCB account in July?,/api/agent/analytics/anomalies
Show my budget utilization for groceries in July.,/api/agent/analytics/budget
What did I spend the most money on in Easypaisa during January?,/api/agent/analytics/top-categories
Show investment profit for December in my JazzCash portfolio.,/api/agent/analytics/investments
What did I spend on fuel in Easypaisa during October?,/api/agent/summary/expense-income
What did I spend on entertainment in UBL during July?,/api/agent/summary/expense-income
What is my cashflow for Easypaisa in November?,/api/agent/trends/cashflow
Show investment profit for January in my Easypaisa portfolio.,/api/agent/analytics/investments
Compare my spending in May vs August by category in HBL.,/api/agent/trends/mom
Compare my spending in January vs May by category in Alfalah.,/api/agent/trends/mom
Calculate my current net worth in Easypaisa as of March.,/api/agent/analytics/net-worth
Find transactions matching McDonalds from today.,/api/agent/transactions/search
Get statement report for August for Alfalah.,/api/agent/analytics/statements
How close am I to my saving goal of 5000 PKR in SCB?,/api/agent/analytics/savings
How close am I to my saving goal of 10000 PKR in UBL?,/api/agent/analytics/savings
Calculate my current net worth in Easypaisa as of April.,/api/agent/analytics/net-worth
Compare my spending in September vs July by category in UBL.,/api/agent/trends/mom
What did I spend on rent in SCB during August?,/api/agent/summary/expense-income
List recurring items under entertainment for my Alfalah card.,/api/agent/analytics/recurring
Compare my spending in February vs September by category in Meezan.,/api/agent/trends/mom
How close am I to my saving goal of 25000 PKR in Alfalah?,/api/agent/analytics/savings
List recurring items under travel for my Meezan card.,/api/agent/analytics/recurring
Compare my spending in August vs June by category in HBL.,/api/agent/trends/mom
What did I spend the most money on in HBL during June?,/api/agent/analytics/top-categories
What did I spend the most money on in SCB during October?,/api/agent/analytics/top-categories
Show my balance trend for Meezan since December.,/api/agent/trends/monthly-balance
Find transactions matching Careem from today.,/api/agent/transactions/search
What did I spend on entertainment in Easypaisa during November?,/api/agent/summary/expense-income
What are my balances in NBP and SCB for January?,/api/agent/overview
Are there any unusual transaction spikes on my SCB account in October?,/api/agent/analytics/anomalies
List recurring items under shopping for my NBP card.,/api/agent/analytics/recurring
Compare my spending in June vs April by category in HBL.,/api/agent/trends/mom
What are my balances in UBL and SCB for November?,/api/agent/overview
Calculate my current net worth in HBL as of February.,/api/agent/analytics/net-worth
What did I spend the most money on in SCB during July?,/api/agent/analytics/top-categories
What did I spend the most money on in Meezan during November?,/api/agent/analytics/top-categories
Calculate my current net worth in NBP as of April.,/api/agent/analytics/net-worth
